Czech,English
být,be
a,and
ten,the
se,with
v,in
na,on
že,that
on,he
mít,have
s,with
já,I
tak,so
z,of
no,well
ale,but
který,who
jako,like
do,to
o,O
k,to
i,and
jo,Yeah
tam,there
co,what
moct,be
za,for
když,when
oni,they
jak,how
už,already
svůj,its
pro,for
vědět,know
nebo,or
po,after
hm,hm
jeho,his
všechen,all
tento,this
ne,No
rok,year
ještě,still
aby,that
od,from
jeden,one
muset,have to
jít,go
říct,say
chtít,want
takový,such
říkat,say
ty,you
u,at
pak,then
my,we
člověk,human
jen,just
nějaký,some
až,until
dát,give
dva,two
velký,big
protože,because
než,than
jenž,that
taky,too
asi,about
ani,neither
při,at
dobrý,good
prostě,just
celý,whole
něco,something
před,before
stát,state
jiný,other
tady,here
teď,now
další,next
vidět,see
však,however
podle,according to
myslet,think
dělat,do
nový,new
také,also
třeba,perhaps
kde,where
sem,here
nic,nothing
druhý,second
jejich,their
první,first
každý,each
mezi,between
den,day
zase,again
doba,time
přijít,come
takže,so
právě,just
teda,so
tři,three
moc,power
vy,you
začít,start
malý,small
dobře,good
náš,our
sám,alone
dostat,get
takhle,like this
jenom,only
bez,without
tenhle,this one
mnoho,many
můj,my
kdy,when
jestli,if
vůbec,at all
tu,here
kdo,who
kdyby,if
udělat,make
proto,therefore
místo,place
žádný,none
pod,under
život,life
práce,work
jaký,what
starý,old
některý,some
vzít,take
úplně,completely
vysoký,high
hodně,lots of
ruka,hand
či,whose
strana,page
nad,over
věc,thing
přes,over
země,Earth
několik,several
poslední,last
čas,time
někdo,someone
případ,case
stejně,anyway
pokud,if
tedy,thus
již,already
svět,world
vždycky,always
jet,go
hodina,hour
nechat,let
proč,why
nějak,somehow
cesta,way
málo,little
dítě,child
vlastně,actually
hlava,head
velmi,very
proti,against
možná,maybe
vlastní,own
oba,both
nikdo,no one
vždyť,after all
nikdy,never
část,part
potom,then
problém,problem
oko,eye
totiž,namely
konec,end
lze,can
český,Czech
čtyři,four
rád,order
jednou,once
najít,find
pět,five
kolem,around
což,which
chvíle,moment
dříve,previously
chodit,walk
dnes,today
snad,perhaps
pouze,only
město,city
muž,man
možný,possible
mluvit,speak
pan,Mr
způsob,way
znát,know
slovo,word
často,often
žena,woman
různý,different
jediný,only
společnost,company
dlouho,long
stále,still
řada,advice
stejný,same
dále,further
dlouhý,long
mladý,young
čekat,wait
týden,week
tisíc,thousand
voda,water
někdy,sometimes
spíš,Are you sleeping
hlavní,main
jinak,otherwise
zůstat,remain
vrátit,return
vypadat,to look like
hele,Hey
dávat,give
přece,after all
viď,nad
známý,known
vést,lead
potřebovat,need
dokonce,even
patřit,belong
například,for example
hrát,play
dost,enough
koruna,crown
dojít,milk
hned,brown
teďka,now
ostatní,other
měsíc,Moon
fakt,fact
podívat,look
znamenat,mean
pozdě,late
-li,if
deset,ten
dům,House
daleko,far
peníze,money
ať,let's
možnost,possibility
především,primarily
nakonec,finally
dokázat,prove
někde,somewhere
škola,school
stát,state
otázka,question
slyšet,hear
skupina,group
důležitý,important
opravdu,really
pravda,truth
snažit,endeavor
získat,gain
cena,price
sto,hundred
špatný,not good
ano,Yes
docela,quite
systém,system
koupit,buy
oblast,region
zatím,yet
sice,although
situace,situation
žít,live
půl,half
kvůli,due to
sedět,sit
určitě,certainly
ovšem,of course
hlavně,mainly
většina,most
kolik,pin
trochu,a little
přitom,at the same time
prý,apparently
uvést,mention
pořád,show
stačit,suffice
rychle,fast
znovu,again
firma,firm
pracovat,work
rozhodnout,decide
přesně,exactly
příliš,too much
jméno,name
důvod,reason
zdát,dream
změna,change
síla,strong
téměř,almost
brát,take
ukázat,show
noc,night
přímo,direct
platit,pay
navíc,in addition
doma,home
včera,yesterday
nyní,now
výsledek,result
zcela,completely
milion,million
objevit,discover
základní,basic
spolu,together
šest,six
